TeamName,ProjectTitle,ProjectAbstract
Biopiece,Medicool,"Medicool is a device that targets injuries to the head and neck, and is to be used by Emergency responders, and in an ambulance. When arriving to a scene with a suspected injury from blunt force to the head or neck this device will be used to reduce further swelling or damage to suspected area."
DARTMed,Intermittent Catheter for Neurogenic Bladder Dysfunction,"Neurogenic bladder dysfunction arises from neurological disorders such as spinal cord injuries, multiple sclerosis, or stroke. This impairment disrupts bladder control that requires intermittent catheterization to prevent life-threatening complications, which include urinary retention, kidney damage, and infections. Traditional intermittent catheters, however, pose significant challenges for users with limited dexterity, including poor insertion experiences, infection risks from poor hygiene practices, and discomfort due to rigid designs. To address these issues, this project introduces the SureGrip male intermittent catheter, a patient-centered innovation designed to enhance safety, usability, and independence during self-catheterization. "
Good In Progress,Good In Progress Pediatric Wheelchair,"There is a critical need for accessible pediatric wheelchairs in the United States and globally. Currently, the pediatric wheelchair market is valued at $2.33B in 2023 and is projected to reach $3.63B by 2030. However, only 3% of individuals in low-income countries have access to mobility-assistive devices. Wheelchairs are
essential for children, offering freedom, independence, and inclusion which are critical to their physical, emotional, and social development.
Our project aims to design and construct a modular pediatric wheelchair that can be customized to each child’s physical dimensions, mobility requirements, and medical equipment. The design prioritizes accessibility and usability for children globally, addressing a growing demand for customized mobility solutions. Overall, our modular pediatric wheelchair design addresses the global need for mobility-assistive devices by prioritizing adaptability, inclusivity, and usability. This project is intended to transform children’s lives, fostering independence and equitable access to mobility solutions."
HealthLens Technologies,MedVisor,"In medical education, one of the most persistent challenges is the lack of accessible, repeatable surgical practice. While students can read and watch videos, opportunities to train with cadavers or dummies are severely limited. What they need is more hands-on experience — without being pulled out of the real-world context they’ll ultimately be working in. That’s exactly what MedVisor is designed to solve. MedVisor is a standalone augmented reality headset that uses depth cameras and video passthrough to project interactive 3D models into the user’s real physical environment. It’s not a virtual simulation — it’s real-world AR, where your hands, workspace, and surroundings remain visible, enhanced by digital overlays that guide and respond to your actions. "
Lymphline Medical,Lymphatic Drainage Device,"The device features a peristaltic pump used as a method to control flow rate and measure the pressure during drainage of the thoracic duct, along with gravity's factor. To facilitate drainage, a port-a-cath is implanted in the chest region of patients for easy percutaneous access through a needle attached to a tubing. This port-a-cath will be termed as the lymphoport."
NovaHealth,NovaSpec Sample Collection Device for Pap Smear Examination,"Women’s health has been underprioritized in healthcare, as seen with the pap smear exam since it remains outdated despite being important for early cervical cancer detection. The instruments used are described to be painful and uncomfortable for women, leading to a decrease in compliance to get screened. As of 2024, 1 in 4 women in the United States do not get routinely screened, and over 50% of cervical cancer cases are in women who are not up to date with their screenings. Early detection improves treatment outcomes, with 90% of early-stage diagnosis resulting in 5+ year survival compared to 20% for late-stage cases. Of the 12,500 cervical cancer cases in 2021, nearly 30% resulted in mortality, highlighting the importance of early screening. Our team strives to develop a device to address the ongoing need for a more comfortable and efficient pap smear sample collection device to encourage patient compliance for screening.

"
oxyGEN Technologies,Using Water Electrolysis for Supplemental Oxygen Applications,"With an expected increase in the global market size by almost $15 billion by the year 2031 [1], supplemental oxygen delivery systems are becoming more widespread. Current systems, such as oxygen tanks and concentrators, face significant challenges with portability. Issues like travel restrictions, bulkiness, and the hazards of pressurized oxygen impact the quality of life for users. OxyGen Technologies has identified a need for a supplemental, portable, and lightweight oxygen delivery system that eliminates the dependency on pressurized oxygen tanks. To achieve this, we will collaborate with BioSure Professional to standardize a supplemental oxygen delivery system that relies on electrolysis, the splitting of water into oxygen using an external electrical current. Through this method, we are anticipating to improve the quality of life for patients with chronic lung diseases by reducing the portability constraints associated with current supplemental devices."
Pro Tech,VasGuard: Intra Vas Deferens Contraceptive Device​,"The current landscape of male contraceptives is limited with men primarily relying on condoms or vasectomy; options that either require diligent use or are considered permanent. Designed to be low-maintenance and effective without daily intervention, the VasGuard aims to obstruct sperm travel through the vas deferens while allowing users to regain fertility upon removal of the device. Our innovative device taps into an expanding market, offering men a reliable, reversible, and long-term solution that empowers them to take control of their reproductive health while simultaneously reducing the reliance on female-focused contraceptive options."
Restore and Renew,"The GentleCue, A First of its Kind device for Early Infection Detection in Chronic Wounds for Type 2 Diabetics","Infection is one of the primary challenges in managing chronic wounds, particularly for Type II diabetic patients. Chronic wound healing is often derailed by a hostile wound environment, which includes bacterial growth, temperature spikes, tissue breakdown, and more. If left untreated, infections can deter the healing process and even lead to amputation. To address this, we developed GentleCue, a compact device that detects early signs of infection using a combination of the fluid retention assessment and infrared temperature sensing. While current diagnostic methods can cost patients hundreds of dollars, GentleCue significantly reduces these expenses by providing a fast, accurate, cost-effective preventive method and monitoring system, ultimately saving both time and money for patients and caregivers.  
"
Sternal Secure,Sternal Bridge,"When performing a sternal closure after thoracic surgery, it is crucial to maintain proper alignment and compression of the sternum to ensure effective fixation. Traditional techniques, such as using forceps and cerclage wires, often fall short, leading to inadequate sternal alignment and severe complications, including dehiscence, malunion, nonunion, and infection. Currently, cerclage wires are the most commonly used method for sternal reduction and fixation. Our proposed sternal reduction device, SternalBridge, addresses these issues by ensuring proper alignment and stable compression of the sternum, allowing for effective fixation with plates; designed to decrease operating times and enhance ease of use, and improve patient outcomes."
