TeamName,ProjectTitle,ProjectAbstract
Bit Busters,FPGA Code Compliance Checker,"For consumer bases such as students and even businesses who have tight budgets, coming across affordable, simplistic software resources for code compliance is hard to come by. Through our project, we aim to alleviate the problem of scarcity by making our product available via the web; while also solving the problem of simplicity by creating a user-friendly interface where individuals of all experience levels can use our website. On our site, the user will be able to paste their code and after execution, the user will be prompted with any errors that are in their code and what/where they are.
"
Waveform Wizards,Automated Ultrasound,"The Automated Ultrasound project, sponsored by the United States Army Institute of Surgical Research (USAISR), identifies internal injuries, namely hemothorax and pneumothorax injuries, in remote combat environments. The project consists of a tablet, an application that guides the user during lung scans, a portable ultrasound probe, and an AI model displaying an injury probability score. The project will integrate a portable ultrasound probe connected via Bluetooth, a tablet, an app, and the AI model. A user-friendly interface will guide personnel through each step of the chest scan, offering visual cues, quality checks, and an injury likelihood percentage.  "
Subsurface Squad,Ground Penetrating Radat Imaging System,"This project focuses on developing a Ground Penetrating
Radar (GPR) system that operates within the 800-1600 MHz
frequency range for subsurface imaging. The goal is to
create an affordable and portable solution for detecting
underground utilities, pipes, or ancient structures at
archaeological sites. The design involves using a Jetson
Nano microcontroller to process signals transmitted and
received by the radar’s antennas, with the data being filtered,
amplified, and analyzed in real-time for clear and accurate
subsurface detection. "
ODD (Oral Disease Detection),ODD,The issue at hand is when detecting gum disease there is a manual examination that is time-consuming and creates delayed results. This device will allow more time-efficient results and can accurately detect gum disease. The O.D.D. oral detection device is an AI-driven image analysis and real-time detection device that captures high-resolution images of the gums. This device will essentially reduce the time patients spend on their results and the whole process by having a camera housing attached to a foam mouthguard that will scan and capture pictures and view the results afterward to save time for treatment outcomes.
Sentient Guards,AI Habit Tracker,"The AI Habit Tracker (A.H.T.) is a system that tracks a users’ behaviors to create a profile for the intended personnel. Nowadays, there is a rise in demand for a secure system to track motion, ensure safety as well as security. The answer to this demand is to capture habits to create profiles for users that will enhance security while also being able to detect discrepancies. With the use of AI learning alongside sensor modules, it is now possible to provide real-time monitoring and accurate data capturing thus maintaining security and providing insight on user habits."
Rechargeable Power,Rechargeable Power,"This project aims to address the environmental and cost challenges posed by the frequent use and disposal of alkaline non-rechargeable battery packs in quarry lubrication units. To offer a more sustainable solution, a new rechargeable battery pack is under development, designed to endure multiple charge cycles over its lifespan. Complementing this innovation, there are plans to create a custom-built charging station, capable of charging multiple batteries simultaneously, ensuring both safety and convenience. Together, these technologies will significantly reduce the environmental impact created from disposing thousands of battery packs per year, while also cutting energy costs for quarry operations. "
ECMOtion,Compact Cooler-Heater Device for Extracorporeal Life Support,"Extracorporeal Membrane Oxygenation (ECMO) is a critical life support system for patients with severe heart or lung failure, but current heater/cooler devices have significant limitations such as size, complexity, and portability. This project aims to develop a compact, battery-operated ECMO device with an intuitive interface. Healthcare providers will be able to adjust temperatures and monitor real-time data like flow rates and patient vitals. The device will offer improved heating/cooling stability, stronger pump control, and essential safety features like a kill switch, ensuring greater reliability and patient care."
Modifly - SAR,K9 Drone TEaming for SAR,"Our project focuses on developing a drone-based system to assist search and rescue operations by guiding trained search and rescue dogs. The drone, controlled by the handler, is equipped with a laser pointer and camera gimbal to direct the dog remotely. The dog wears a GPS-enabled device, allowing the drone to maintain proximity while the handler uses a custom interface for precise control. This system enhances the efficiency of search and rescue missions by providing real-time guidance without needing the handler to be physically close to the dog."
Dark Sky Electrical/Computer Engineering,Automatic Night Sky Monitoring System,"The city of Bee Cave desires for a more efficient solution to monitoring their night skies so that they can maintain minimal light pollution in their skies. Sponsored by Freese and Nichols, Dark Sky ECE’s solution is to create an automated, self-sustaining monitoring system. This system will deploy several measuring sites, with each site powered by batteries that are charged by solar energy. Using high-quality image capturing, light pollution sensors, and weather sensors, each of these devices will automatically record, process, and transmit this data wirelessly to a central control center which can then be analyzed in order to examine the health of the night skies. 
"
Force of Will,The Archivist,"The Archivist is a high-speed trading card scanning machine that is capable of processing up to 100 cards per minute. This machine is connected to a custom online server that stores comprehensive data on each card, including its image and identifying markings. Using Fast Fourier Transforms (FFT) and correlation analysis, the system accurately extracts and matches card features to identify the card type and relevant data. Once identification is complete, the card is transported precisely up the hopper and sorted into one of the several bins, categorized according to pre-set classification thresholds. The database is managed by an SQL server that integrates with bash scripts to communicate with the TCGPlayer API, ensuring that the SQL database is dynamically updated with real-time price data."
